index,name,hof,Age,Tm,MVP,AS,GG,ROY,Awards,Pos,Year,Lg,G,PA,AB,R,H,doubles,triples,HR,RBI,SB,CS,BB,SO,TB,HBP,SF,IBB,BA,OBP,SLG,OPS,OPS_plus,AVG,singles
128606,Ryan Zimmerman,active,36,"WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN, WSN",0,2,1,0,"nan, RoY-2, nan, nan, AS,MVP-25,GG,SS, MVP-16,SS, nan, MVP-24, nan, nan, nan, nan, AS,MVP-20, nan, nan, nan","5/H6, *5, *5/D, 5/H, *5/HD, *5/HD, 5/HD, *5/H, *5/DH, 75/3HD, 3/H7, *3/D, *3/HD, 3H, 3/HD, 3H",2005-2021,"NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",1750,7288,6552,952,1821,408,22,279,1039,43,16,636,1349,3110,31,67,43,0.2806875,0.3414768048311831,0.47466422466422464,0.8161410294954077,115.8125,0.27793040293040294,1112
59537,Ryder Jones,no,24,"SFG, SFG",0,0,0,0,"nan, nan","35/H7, /H35",2017-2018,"NL, NL",58,172,158,14,29,5,2,4,8,1,0,10,57,50,4,0,3,0.274,0.25,0.31645569620253167,0.5664556962025317,167,0.18354430379746836,18
68078,Rymer Liriano,no,26,"SDP, CHW",0,0,0,0,"nan, nan","9/H, 7/9DH",2014-2017,"NL, AL",59,167,150,17,33,4,0,2,12,5,1,14,53,43,2,1,1,0.22,0.2934131736526946,0.2866666666666667,0.5800798403193612,69,0.22,27
102056,Ryne Sandberg,yes,37,"PHI, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC, CHC",1,10,9,0,"nan, RoY-6, GG, AS,MVP-1,GG,SS, AS,MVP-13,GG,SS, AS,GG, AS,GG, AS,GG,SS, AS,MVP-4,GG,SS, AS,MVP-4,GG,SS, AS,MVP-17,GG,SS, AS,MVP-12,SS, AS, nan, nan, nan","/H64, *54/H, *4/H6, *4, *4/H6, *4/H, *4/H, *4/H, *4/H, *4/H, *4/H, *4/H, *4/H, 4, *4/H, *4H/D",1981-1997,"NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,3787,34,71,59,0.275375,0.34385471840882065,0.45163983303518185,0.7954945514440025,105.1875,0.2845557543231962,1625
50737,Ryon Healy,no,28,"OAK, OAK, SEA, SEA, MIL",0,0,0,0,"nan, nan, nan, nan, nan","5, D35/H, *3/H5, 53, /3DH",2016-2020,"AL, AL, AL, AL, NL",405,1606,1514,177,395,80,0,69,214,0,1,75,357,682,8,8,1,0.2382,0.29781931464174455,0.45046235138705415,0.7482816660287988,80.2,0.2608982826948481,246
54343,Sadie Houck,no,30,"BSN, TOT, BSN, PRO, DTN, DTN, TOT, WHS",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan","O6, *O, O, O, *6, *6, *6/4O, 6/4",1879-1886,"NL, NL, NL, NL, NL, NL, MLB, NL",543,2229,2192,279,508,86,42,5,218,33,0,33,87,693,4,0,0,0.219375,0.24450426200089725,0.31614963503649635,0.5606538970373935,69.25,0.23175182481751824,375
4560,Sal Bando,no,37,"KCA, KCA, OAK, OAK, OAK, OAK, OAK, OAK, OAK, OAK, OAK, MIL, MIL, MIL, MIL, MIL",0,4,0,0,"nan, nan, nan, AS,MVP-16, MVP-27, MVP-2, AS,MVP-30, AS,MVP-4, AS,MVP-3, nan, MVP-13, nan, nan, nan, nan, nan","/5H, 5/H, *5/7, *5, *5/H, *5, *5/4H, *5/D, *5/HD, *5/H, *5/6DH, *5D/46, *5D/3H, *5D/341H, 5D/3H, 5H/3D",1966-1981,"AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL",2019,8289,7060,982,1790,289,38,242,1039,75,46,1031,923,2881,75,57,69,0.24775,0.35218290161741456,0.40807365439093485,0.7602565560083494,111.6875,0.2535410764872521,1221
16316,Sal Butera,no,35,"MIN, MIN, MIN, DET, MON, MON, CIN, TOT, CIN, MIN, TOR",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","2/DH, 2/H3D, 2/H, /2, /2H, 2/1, 2/H1, 2, /2, 2, 2/H",1980-1988,"AL, AL, AL, AL, NL, NL, NL, MLB, NL, AL, AL",415,1045,923,71,203,29,3,10,90,0,0,94,107,268,3,9,4,0.1965454545454545,0.2915451895043732,0.2903575297941495,0.5819027192985227,49.27272727272727,0.2199349945828819,161
36197,Sal Fasano,no,36,"KCR, KCR, KCR, KCR, OAK, TOT, TOT, OAK, KCR, COL, ANA, BAL, TOT, PHI, NYY, TOR, CLE",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","2, 2/HD, 2/35H, 2, 2/H, 2/HD, 2/HD, /2HD, /2, 2, /2, 2/DH3, 2/HD, 2/H, 2/HD, 2, 2/3",1996-2008,"AL, AL, AL, AL, AL, MLB, AL, AL, AL, NL, AL, AL, MLB, NL, AL, AL, AL",558,1571,1405,162,304,66,0,55,164,2,4,85,431,535,58,5,1,0.1721764705882353,0.287830006,0.3807829181494662,0.6686129245886162,36.70588235294117,0.21637010676156584,183
72492,Sal Madrid,no,27,CHC,0,0,0,0,,/6,1947-1947,NL,8,25,24,0,3,1,0,0,1,0,0,1,6,4,0,0,1,0.125,0.16,0.16666666666666666,0.32666666666666666,-12,0.125,2
