g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id,player,pos,lg,age,experience,tm,season,mpg,fg%,3p%,2p%,ft%,rpg,apg,spg%,bpg,tpg,pfpg,ppg,all-star selections,aba mvp,aba roy,dpoy,mip,nba mvp,nba roy,smoy,championships,finals_appearances,fmvp,hof
103,0.0,0.0,193,565,0.0,0.0,193,565,230,380,0.0,0.0,0.0,96,0.0,0.0,0.0,265,616,126,milt schoon,C,NBA,27.0,2,"SHE, DTF",1947-1950,0.0,0.3415929203539823,0.0,0.3415929203539823,0.6052631578947368,0.0,0.9320388349514565,0.0,0.0,0.0,2.5728155339805827,5.980582524271845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
86,0.0,0.0,140,716,0.0,0.0,140,716,44,88,0.0,0.0,0.0,60,0.0,0.0,0.0,196,324,127,moe becker,G-F,BAA,29.0,1,"TOT, PIT, BOS, DTF",1947-1947,0.0,0.1955307262569832,0.0,0.1955307262569832,0.5,0.0,0.6976744186046512,0.0,0.0,0.0,2.2790697674418605,3.767441860465116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
6,0.0,0.0,4,27,0.0,0.0,4,27,8,12,0.0,0.0,0.0,3,0.0,0.0,0.0,6,16,128,nat frankel,F-G,BAA,33.0,1,PIT,1947-1947,0.0,0.1481481481481481,0.0,0.1481481481481481,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,1.0,2.6666666666666665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
114,0.0,0.0,180,686,0.0,0.0,180,686,128,224,0.0,0.0,0.0,84,0.0,0.0,0.0,240,488,129,nat militzok,F,BAA,23.0,1,"TOT, NYK, TRH",1947-1947,0.0,0.2623906705539358,0.0,0.2623906705539358,0.5714285714285714,0.0,0.7368421052631579,0.0,0.0,0.0,2.1052631578947367,4.280701754385965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
16,0.0,0.0,3,25,0.0,0.0,3,25,8,15,0.0,0.0,0.0,4,0.0,0.0,0.0,13,14,130,ned endress,F-G,BAA,28.0,1,CLR,1947-1947,0.0,0.12,0.0,0.12,0.5333333333333333,0.0,0.25,0.0,0.0,0.0,0.8125,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
53,0.0,0.0,102,385,0.0,0.0,102,385,38,53,0.0,0.0,0.0,29,0.0,0.0,0.0,75,242,131,nick shaback,G,BAA,28.0,1,CLR,1947-1947,0.0,0.2649350649350649,0.0,0.2649350649350649,0.7169811320754716,0.0,0.5471698113207547,0.0,0.0,0.0,1.4150943396226414,4.566037735849057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
331,0.0,2673.0,1024,2826,0.0,0.0,1024,2826,943,1291,0.0,0.0,1200.0,415,0.0,0.0,0.0,1152,2991,132,noble jorgensen,C,NBA,27.0,5,"SYR, SYR, TOT, TRI, SYR, SHE, PIT",1947-1953,8.075528700906345,0.3623496107572541,0.0,0.3623496107572541,0.7304415182029435,3.625377643504532,1.253776435045317,0.0,0.0,0.0,3.4803625377643503,9.036253776435045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
4,0.0,0.0,0,1,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,133,norm baker,G,BAA,23.0,1,CHS,1947-1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
54,0.0,0.0,162,588,0.0,0.0,162,588,111,179,0.0,0.0,0.0,109,0.0,0.0,0.0,115,435,134,ossie schectman,G,BAA,27.0,1,NYK,1947-1947,0.0,0.2755102040816326,0.0,0.2755102040816326,0.6201117318435754,0.0,2.0185185185185186,0.0,0.0,0.0,2.1296296296296298,8.055555555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
1,0.0,0.0,0,1,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,135,pete lalich,F,BAA,26.0,1,CLR,1947-1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
