W,L,G,GS,GF,CG,SHO,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,ROY,AS,GG,CY,name,Age,index,Tm,Awards,Lg,Year,W-L%,ERA,FIP,WHIP,H9,HR9,BB9,SO9,hof
3.0,8.0,166.0,0.0,21.0,0.0,0.0,159.60000000000002,127.0,64.0,54.0,11.0,71.0,4.0,169.0,6.0,1.0,14.0,0,0,0,0,Aaron Bummer,27,13242,"CHW, CHW, CHW, CHW, CHW","nan, nan, nan, nan, nan","AL, AL, AL, AL, AL",2017-2021,0.3625,3.022,3.3480000000000003,1.2662,6.98,0.6,4.38,10.24,active
17.0,12.0,37.0,37.0,0.0,1.0,0.0,228.4,207.0,94.0,90.0,29.0,55.0,0.0,191.0,7.0,2.0,4.0,0,0,0,0,Aaron Civale,26,18588,"CLE, CLE, CLE","nan, nan, nan","AL, AL, AL",2019-2021,0.5539999999999999,3.466666666666667,3.9,1.143,8.133333333333333,1.0666666666666669,2.1666666666666665,7.533333333333334,active
76.0,79.0,256.0,224.0,5.0,12.0,3.0,1404.0,1636.0,776.0,719.0,126.0,429.0,45.0,578.0,48.0,2.0,37.0,0,1,0,0,Aaron Cook,33,20274,"COL, COL, COL, COL, COL, COL, COL, COL, COL, COL, BOS","nan, nan, nan, nan, nan, nan, AS, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, AL",2002-2012,0.5060909090909091,4.703636363636364,4.568181818181818,1.4937272727272728,10.6,0.8545454545454546,2.8363636363636364,3.5818181818181816,no
20.0,11.0,254.0,0.0,73.0,0.0,0.0,233.2,210.0,98.0,89.0,28.0,99.0,8.0,208.0,3.0,1.0,20.0,0,1,0,0,Aaron Crow,27,21916,"KCR, KCR, KCR, KCR","AS, nan, nan, nan","AL, AL, AL, AL",2011-2014,0.6725,3.435,4.202500000000001,1.33225,8.15,1.1,3.85,7.975,no
0.0,0.0,10.0,0.0,2.0,0.0,0.0,7.3,14.0,11.0,11.0,2.0,8.0,0.0,9.0,2.0,0.0,0.0,0,0,0,0,Aaron Fletcher,25,31841,"SEA, SEA","nan, nan","AL, AL",2020-2021,,12.365,7.814999999999999,2.7065,15.85,2.3,8.5,9.7,active
25.0,15.0,463.0,1.0,111.0,0.0,0.0,478.5,467.0,243.0,227.0,50.0,187.0,27.0,394.0,18.0,3.0,12.0,0,0,0,0,Aaron Fultz,33,33586,"SFG, SFG, SFG, TEX, MIN, PHI, PHI, CLE","nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, AL, AL, NL, NL, AL",2000-2007,0.629375,4.24625,4.0925,1.37875,8.775,0.9,3.6125,7.3,no
138.0,161.0,429.0,422.0,3.0,17.0,10.0,2537.0,2687.0,1315.0,1230.0,335.0,771.0,55.0,1997.0,70.0,4.0,83.0,0,0,0,0,Aaron Harang,37,39546,"OAK, TOT, OAK, CIN, CIN, CIN, CIN, CIN, CIN, CIN, CIN, SDP, LAD, TOT, SEA, NYM, ATL, PHI","nan, nan, nan, nan, nan, nan, nan, CYA-4, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, MLB, AL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, MLB, AL, NL, NL, NL",2002-2015,0.4288333333333333,4.533888888888889,4.389444444444444,1.3900555555555556,9.644444444444444,1.2666666666666666,2.8833333333333333,6.916666666666667,no
35.0,46.0,477.0,25.0,132.0,1.0,1.0,629.3,602.0,330.0,308.0,72.0,256.0,25.0,548.0,33.0,1.0,27.0,0,0,0,0,Aaron Heilman,32,43214,"NYM, NYM, NYM, NYM, NYM, NYM, CHC, ARI, ARI","nan, nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL, NL, NL",2003-2011,0.4443333333333333,4.747777777777778,4.421111111111111,1.4102222222222225,8.966666666666667,1.1444444444444446,3.733333333333333,7.777777777777778,no
29.0,31.0,208.0,71.0,21.0,0.0,0.0,555.9,637.0,304.0,277.0,56.0,230.0,11.0,284.0,33.0,5.0,15.0,0,0,0,0,Aaron Laffey,30,55281,"CLE, CLE, CLE, CLE, TOT, SEA, NYY, TOR, TOT, NYM, TOR, COL","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, AL, AL, AL, AL, MLB, NL, AL, NL",2007-2015,0.5654444444444445,4.860833333333333,5.105,1.73175,10.55,0.775,5.041666666666667,4.616666666666666,no
0.0,0.0,6.0,0.0,3.0,0.0,0.0,7.0,7.0,4.0,4.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0,0,0,0,Aaron Looper,26,58605,SEA,,AL,2003-2003,,5.14,4.46,1.286,9.0,1.3,2.6,7.7,no
18.0,22.0,496.0,1.0,73.0,0.0,0.0,415.4,400.0,180.0,157.0,32.0,124.0,14.0,404.0,41.0,1.0,14.0,0,0,0,0,Aaron Loup,33,58904,"TOR, TOR, TOR, TOR, TOR, TOR, TOT, TOR, PHI, SDP, TBR, NYM","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, AL, AL, MLB, AL, NL, NL, AL, NL",2012-2021,0.4551428571428571,3.266666666666667,3.249166666666667,1.208,8.416666666666666,0.6083333333333333,2.458333333333333,8.916666666666666,active
6.0,12.0,47.0,30.0,7.0,0.0,0.0,152.0,185.0,144.0,140.0,26.0,106.0,1.0,134.0,22.0,0.0,9.0,0,0,0,0,Aaron Myette,26,70466,"CHW, CHW, TEX, TEX, CLE, CIN","nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, AL, NL",1999-2004,0.2433333333333333,9.243333333333334,7.170000000000001,2.198,10.333333333333334,1.3,9.433333333333334,7.0,no
64.0,45.0,157.0,157.0,0.0,3.0,2.0,942.6,823.0,397.0,376.0,107.0,281.0,15.0,1048.0,36.0,2.0,11.0,0,1,0,0,Aaron Nola,28,70800,"PHI, PHI, PHI, PHI, PHI, PHI, PHI","nan, nan, nan, AS,CYA-3,MVP-13, nan, CYA-7, nan","NL, NL, NL, NL, NL, NL, NL",2015-2021,0.584,3.7085714285714286,3.44,1.1777142857142855,8.014285714285714,1.0571428571428572,2.6,10.085714285714284,active
1.0,0.0,5.0,0.0,3.0,0.0,0.0,8.0,5.0,2.0,2.0,1.0,8.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,Aaron Northcraft,31,72335,SDP,,NL,2021-2021,1.0,2.25,6.54,1.625,5.6,1.1,9.0,5.6,active
4.0,1.0,54.0,0.0,14.0,0.0,0.0,47.3,50.0,22.0,22.0,2.0,33.0,3.0,45.0,3.0,0.0,5.0,0,0,0,0,Aaron Poreda,27,79096,"TOT, CHW, SDP, TEX","nan, nan, nan, nan","MLB, AL, NL, AL",2009-2014,0.8889999999999999,3.73,5.215,1.89375,7.699999999999999,0.2,9.4,6.7,no
1.0,0.0,14.0,0.0,3.0,0.0,0.0,18.3,17.0,7.0,7.0,3.0,4.0,0.0,14.0,0.0,0.0,0.0,0,0,0,0,Aaron Rakers,30,81292,"BAL, BAL, SDP","nan, nan, nan","AL, AL, NL",2004-2007,1.0,2.48,3.5066666666666664,1.1363333333333332,8.866666666666667,0.6666666666666666,1.3666666666666665,4.466666666666667,no
40.0,48.0,183.0,129.0,10.0,0.0,0.0,747.7,711.0,389.0,357.0,84.0,340.0,8.0,613.0,43.0,1.0,33.0,0,1,0,0,Aaron Sanchez,28,87124,"TOR, TOR, TOR, TOR, TOR, TOT, TOR, HOU, SFG","nan, nan, AS,CYA-7, nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, AL, AL, AL, AL, NL",2014-2021,0.501,4.045555555555556,4.685555555555556,1.3517777777777775,8.100000000000001,1.1,4.077777777777778,7.2555555555555555,active
0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.2,6.0,5.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0,0,0,0,Aaron Scheffer,23,89807,SEA,,AL,1999-1999,,1.93,3.99,1.929,11.6,0.0,5.8,7.7,no
148.0,112.0,404.0,352.0,15.0,15.0,9.0,2149.5,2413.0,1208.0,1102.0,225.0,798.0,39.0,1407.0,112.0,2.0,54.0,0,2,0,0,Aaron Sele,37,87431,"BOS, BOS, BOS, BOS, BOS, TEX, TEX, SEA, SEA, ANA, ANA, ANA, SEA, LAD, NYM","RoY-3, nan, nan, nan, nan, AS, CYA-5, AS, nan, nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, NL, NL",1993-2007,0.5803999999999999,4.582,4.482666666666666,1.510066666666667,10.18,0.94,3.42,5.72,no
3.0,4.0,47.0,6.0,9.0,0.0,0.0,80.5,82.0,48.0,47.0,11.0,26.0,2.0,53.0,4.0,0.0,1.0,0,0,0,0,Aaron Slegers,28,92869,"MIN, MIN, TBR, TBR, LAA","nan, nan, nan, nan, nan","AL, AL, AL, AL, AL",2017-2021,0.3333333333333333,4.93,5.588,1.27,9.12,1.64,2.28,4.62,active
29.0,15.0,219.0,15.0,58.0,1.0,1.0,386.3,463.0,250.0,228.0,45.0,159.0,16.0,203.0,18.0,0.0,16.0,0,0,0,0,Aaron Small,34,92982,"TOR, FLA, OAK, OAK, TOT, OAK, ARI, ATL, FLA, NYY, NYY","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, NL, AL, AL, MLB, AL, NL, NL, NL, AL, AL",1994-2006,0.6012500000000001,7.847272727272727,7.05,2.806636363636364,16.027272727272727,1.5363636363636362,9.218181818181815,6.418181818181818,no
0.0,0.0,20.0,0.0,10.0,0.0,0.0,20.4,30.0,21.0,21.0,4.0,9.0,0.0,19.0,1.0,0.0,2.0,0,0,0,0,Aaron Taylor,26,98091,"SEA, SEA, SEA","nan, nan, nan","AL, AL, AL",2002-2004,,9.116666666666667,6.48,1.866,12.933333333333332,2.833333333333333,3.9,9.0,no
1.0,3.0,52.0,1.0,7.0,0.0,0.0,46.400000000000006,53.0,27.0,26.0,4.0,19.0,3.0,24.0,0.0,0.0,1.0,0,0,0,0,Aaron Thompson,28,99079,"PIT, MIN, MIN","nan, nan, nan","NL, AL, AL",2011-2015,0.25,4.833333333333333,4.906666666666667,1.7240000000000002,11.333333333333334,0.9666666666666668,4.2,4.433333333333334,no
1.0,1.0,14.0,3.0,8.0,0.0,0.0,35.1,43.0,27.0,27.0,9.0,13.0,1.0,28.0,1.0,0.0,0.0,0,0,0,0,Aaron Wilkerson,30,106983,"MIL, MIL, MIL","nan, nan, nan","NL, NL, NL",2017-2019,0.5,6.93,6.06,1.4896666666666665,10.433333333333332,2.4,3.0,7.433333333333334,no
0.0,1.0,4.0,1.0,1.0,0.0,0.0,10.1,19.0,13.0,13.0,5.0,7.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,Abe Alvarez,23,1851,"BOS, BOS, BOS","nan, nan, nan","AL, AL, AL",2004-2006,0.0,12.143333333333333,10.22,2.5013333333333336,17.5,4.5,5.0,4.5,no
2.0,8.0,24.0,11.0,12.0,2.0,1.0,73.3,75.0,49.0,39.0,0.0,48.0,0.0,27.0,4.0,0.0,5.0,0,0,0,0,Abe Bowman,22,10685,"CLE, CLE","nan, nan","AL, AL",1914-1915,0.111,12.355,6.44,2.319,8.0,0.0,12.95,1.65,no
0.0,1.0,2.0,1.0,1.0,0.0,0.0,6.1,5.0,5.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,0,0,0,0,Abe Kruger,23,54170,BRO,,NL,1908-1908,0.0,4.26,4.31,1.263,7.1,0.0,4.3,2.8,no
0.0,1.0,5.0,0.0,2.0,0.0,0.0,9.1,14.0,7.0,7.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0,0,0,0,Abe White,33,106338,STL,,NL,1937-1937,0.0,6.75,5.13,1.821,13.5,1.0,2.9,1.9,no
0.0,0.0,7.0,0.0,3.0,0.0,0.0,6.4,9.0,8.0,8.0,2.0,5.0,0.0,5.0,1.0,0.0,1.0,0,0,0,0,Abel De Los Santos,23,24184,"WSN, CIN","nan, nan","NL, NL",2015-2016,,8.26,8.255,1.8705,10.95,3.5,5.9,9.7,no
41.0,33.0,302.0,7.0,217.0,2.0,0.0,551.5,541.0,247.0,213.0,26.0,224.0,39.0,171.0,8.0,0.0,15.0,0,1,0,0,Ace Adams,36,780,"NYG, NYG, NYG, NYG, NYG, NYG","nan, nan, AS,MVP-21, nan, MVP-27, nan","NL, NL, NL, NL, NL, NL",1941-1946,0.503,5.671666666666667,4.776666666666666,1.779,12.383333333333333,1.45,3.633333333333333,4.0,no
